81,5,-27.7000,5,0.0000,0,0,0,0.0625,going,out,out
82,5,-21.1000,5,0.0000,0,0,0,0.0769,going,going,going
83,11,-48.2000,11,0.0000,0,0,0,0.0691,out,going,going
84,6,-22.8000,6,0.0000,0,0,0,0.0732,out,out,out
85,6,-29.4000,6,0.0000,0,0,0,0.0642,going,out,out
86,6,-20.4000,6,0.0000,0,0,0,0.0703,going,going,out
87,8,-32.5000,8,0.0000,0,0,0,0.0659,going,going,out
88,9,-29.6500,9,0.0000,0,0,0,0.0693,out,going,going
89,9,-31.9000,9,0.0000,0,0,0,0.0676,going,out,going
90,9,-34.0000,9,0.0000,0,0,0,0.0665,out,out,out
91,5,-14.8000,5,0.0000,0,0,0,0.0694,going,out,out
92,15,-54.7000,15,0.0000,0,0,0,0.0773,going,going,going
93,10,-40.3500,10,0.0000,0,0,0,0.0705,out,going,going
94,6,-27.3500,6,0.0000,0,0,0,0.0617,going,going,out
95,5,-18.9000,5,0.0000,0,0,0,0.0615,going,out,out
96,6,-25.0000,6,0.0000,0,0,0,0.0692,out,out,out
97,5,-25.5000,5,0.0000,0,0,0,0.0668,going,going,landed
98,8,-30.1500,8,0.0000,0,0,0,0.0721,going,going,going
99,5,-21.2000,5,0.0000,0,0,0,0.0680,going,going,going
100,8,-41.5500,8,0.0000,0,0,0,0.0769,going,out,out
101,5,-27.8000,5,0.0000,0,0,0,0.0659,going,landed,going
102,6,-29.3000,6,0.0000,0,0,0,0.0671,landed,going,out
103,7,-30.8000,7,0.0000,0,0,0,0.0601,going,out,out
104,3,-13.5000,3,0.0000,0,0,0,0.0651,going,going,landed
105,8,-30.4500,8,0.0000,0,0,0,0.0727,going,landed,out
106,5,-23.4000,5,0.0000,0,0,0,0.0665,out,landed,out
107,11,-54.8000,11,0.0000,0,0,0,0.0730,going,out,going
108,10,-33.6000,10,0.0000,0,0,0,0.0775,going,going,out
109,9,-42.9000,9,0.0000,0,0,0,0.0619,going,going,out
110,6,-24.9000,6,0.0000,0,0,0,0.0619,out,going,going
111,8,-32.6000,8,0.0000,0,0,0,0.0645,out,going,going
112,5,-14.9000,5,0.0000,0,0,0,0.0708,going,going,out
113,18,-81.7500,18,0.0000,0,0,0,0.0827,going,out,out
114,5,-20.7000,5,0.0000,0,0,0,0.0692,going,out,going
